schema_version,prior_stage,control_family,prior_inference,authority_after_exact_m0,phase178_use,relaunch_policy,rationale
1,phases_128_145,gamma_kernel_chain_length_thinning,MCMC,diagnostic_history_only,exclude,do_not_relaunch,"Exact M0 supersedes generic gamma-kernel and chain-budget screens; Phase177 has one narrowly gated extension."
1,phase_133B,posterior_mean_median_trimmed_summary,MCMC,sensitivity_only,retain_diagnostic,do_not_relaunch,"Posterior mean remains canonical; median and trimmed mean diagnose functional instability and cannot be selected case by case."
1,phases_118_150,scalar_tau0_zeta2_alpha_scale_gamma_initialization,VB_and_pre_M0_MCMC,candidate_region_history_only,local_tau0_neighborhood,post_M0_revalidation_required,"VB values may locate plausible regions, but pre-M0 MCMC rankings cannot promote an exAL winner."
1,phase_135,matched_AL_DESN_and_RHS_controls,VB_and_pre_M0_MCMC,candidate_region_history_only,parity_anchor,post_M0_revalidation_required,"Matched controls remain an interpretable anchor but are not a post-M0 ranking."
1,phases_140_147,fixed_gamma_global_gamma_prior_correlated_moves,MCMC,diagnostic_history_only,exclude,do_not_relaunch,"These interventions changed scalar diagnostics without a reliable quantile-grid performance gain."
1,phases_151_152,reservoir_and_hybrid_feature_maps,VB_and_pre_M0_MCMC,candidate_region_history_only,at_most_one_supported_map_per_case,no_broad_grid,"Old VB feasibility remains informative; any reused map must be reranked under protected exact M0 and independent readouts were not broadly screened."
1,phases_158_161,split_anchor_innovation_RHS,VB_and_pre_M0_MCMC,candidate_region_history_only,exclude_first_launch,separate_hypothesis_only,"Do not confound the first post-M0 DESN/tau0 screen with another shrinkage-architecture experiment."
1,phases_164_166,VB0_point_v_VB1_structured_v,VB,method_development_authority,use_structured_v_for_feasibility,keep_fixed,"Structured-v is the selected initialization and coarse-pruning method; it does not replace exact-M0 ranking."
1,phases_167_170,M0_M1b_M1_exact_sampler,MCMC,production_method_authority,use_M0_for_ranking_and_confirmation,keep_fixed,"M0 is the prospectively frozen exact exAL sampler."
1,phases_171_174,all_16_cell_exact_M0_article_campaign,MCMC,article_baseline_authority,preserve_unaffected_rows,do_not_rerun_wholesale,"Only the five held cells can enter recovery; Phase174 remains authoritative until Phase180 qualifies replacements."
