contract_section,contract_name,value,value_type,rationale
identity,contract_version,joint_qdesn_post_phase178_dgp_score_v1,character,Stable identifier for the predeclared current-grid score contract.
grid,tau_grid,0.05;0.10;0.25;0.50;0.75;0.90;0.95,numeric_vector,Exact seven-level grid fitted in Phase178.
grid,quadrature_rule,trapezoidal_over_observed_tau_range,character,Finite-grid approximation integrates quantile score over the fitted tau range.
grid,quadrature_weights_qs,0.025;0.100;0.200;0.250;0.200;0.100;0.025,numeric_vector,Trapezoidal weights multiplying QS=2*rho_tau; weights sum to 0.90.
grid,renormalize_weights,false,logical,Do not silently rescale the observed-range quadrature to unit mass.
estimand,primary_metric,dgp_integrated_acrps,character,Known-DGP expected finite-grid quantile score for the issued quantile action.
estimand,score_scale,twice_check_loss,character,Each quantile-score ordinate is QS_tau=2*rho_tau.
estimand,canonical_action,posterior_mean_parameter_path_then_rowwise_isotonic,character,Matches the reported posterior-mean quantile path and declared monotone contract.
estimand,posterior_point_summary,mean,character,Primary posterior score summary is fixed before protected score evaluation.
estimand,posterior_interval_probabilities,0.025;0.975,numeric_vector,Equal-tailed 95 percent posterior credible interval.
estimand,posterior_sensitivity_summary,median,character,Posterior median is retained as a compact robustness diagnostic.
draws,score_draws_per_chain,1000,integer,Deterministic chain-balanced reduction is sufficient for score uncertainty while bounding reconstruction cost.
draws,sensitivity_draws_per_chain,250,integer,Bounded draw count for independent coupling-seed sensitivity.
draws,draw_selection,equally_spaced_retained_indices,character,Uses the full retained chain span without outcome-dependent subsampling.
draws,chunk_size,250,integer,Bounds qhat reconstruction memory without changing the estimand.
coupling,joint_draw_coupling,preserve_retained_joint_draw_identity,character,Preserves learned within-draw cross-tau dependence.
coupling,independent_draw_coupling,within_chain_seeded_per_tau_permutation,character,Constructs a chain-balanced product posterior without interpreting equal iteration indices as dependence.
coupling,primary_pairing_seed,17819001,integer,Fixed seed for the primary independent product-posterior coupling.
coupling,sensitivity_pairing_seeds,17819002;17819003,integer_vector,Fixed alternate seeds used only for coupling sensitivity.
coupling,contrast_coupling,within_chain_seeded_scalar_score_permutation,character,Pairs separately fitted scalar score draws without inventing posterior dependence.
decision,practical_relative_margin,0.005,numeric,Half-percent score difference defines a conservative practical near-tie band.
decision,posterior_probability_floor,0.95,numeric,Posterior probability required for directional superiority evidence.
decision,protected_replicate_direction_floor,0.6666666667,numeric,At least two of three protected replicates must agree directionally.
decision,oracle_recovery_ratio_ceiling,1.05,numeric,Prevents score gains accompanied by material oracle-path recovery degradation.
diagnostics,score_rank_rhat_ceiling,1.05,numeric,Preferred score-functional convergence threshold.
diagnostics,score_bulk_ess_floor,400,numeric,Preferred bulk ESS threshold for score functionals.
diagnostics,score_tail_ess_floor,200,numeric,Preferred tail ESS threshold for score functionals.
diagnostics,raw_crossing_rate_review,0.01,numeric,Raw draw-level adjacent crossing opportunity rates above one percent require review.
diagnostics,standardized_adjustment_review,0.05,numeric,Average absolute monotone adjustment above five percent of conditional scale requires review.
numeric,regret_tolerance,1e-8,numeric,Allows only floating-point-level negative expected regret.
numeric,analytic_integration_tolerance,1e-7,numeric,Required agreement between analytic and numerical expected losses.
numeric,monte_carlo_tolerance,0.015,numeric,Fixed-seed Monte Carlo validation tolerance for family formulas.
source,expected_workers,180,integer,Frozen Phase178 ranking worker count.
source,expected_candidate_replicates,45,integer,Frozen Phase178 candidate-replicate count.
source,expected_target_cells,5,integer,Frozen Phase178 scenario-readout decision count.
source,source_incomplete_policy,fail_closed_and_label_incomplete,character,No posterior interval or article row may be fabricated from point-only or missing sources.
scope,dense_grid_status,deferred_separate_refit,character,The later 19-level campaign is not interpolation or part of this audit.
