fold_id,wet_season,origin_date,primary_horizon,secondary_horizon,phase,panel,ridge_pass,primary
dev14_oct,2014-2015,2014-09-30,28,30,october,development,A,true
dev14_nov,2014-2015,2014-10-31,28,30,november,development,A,true
dev14_op,2014-2015,2014-12-25,28,30,operational,development,A,true
dev14_feb,2014-2015,2015-01-31,28,30,february,development,B,true
dev15_oct,2015-2016,2015-09-30,28,30,october,development,A,true
dev15_nov,2015-2016,2015-10-31,28,30,november,development,B,true
dev15_op,2015-2016,2015-12-25,28,30,operational,development,A,true
dev15_mar,2015-2016,2016-02-29,28,30,march,development,A,true
dev16_oct,2016-2017,2016-09-30,28,30,october,development,B,true
dev16_op,2016-2017,2016-12-25,28,30,operational,development,A,true
dev16_feb,2016-2017,2017-01-31,28,30,february,development,A,true
dev16_mar,2016-2017,2017-02-28,28,30,march,development,A,true
dev17_nov,2017-2018,2017-10-31,28,30,november,development,A,true
dev17_op,2017-2018,2017-12-25,28,30,operational,development,A,true
dev17_feb,2017-2018,2018-01-31,28,30,february,development,A,true
dev17_mar,2017-2018,2018-02-28,28,30,march,development,B,true
dev_guard_sep15,2015-2016,2015-08-31,28,30,guardrail,development,guard,false
dev_guard_may17,2016-2017,2017-05-11,28,30,guardrail,development,guard,false
