"spec_id","D","n_vector","n_tilde","m","alpha","rho","pi_w","pi_in","win_scale_global","win_scale_bias","input_bound","launch_seed","rationale"
"cap1000_d1n1000",1,"1000","",100,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,"Wide shallow baseline with one 1000-unit reservoir."
"cap1000_d2n500eq",2,"500;500","500",100,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,"Equal-width two-layer reservoir with identity inter-layer state pass-through."
"cap1000_d4n250eq",4,"250;250;250;250","250;250;250",100,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,"Equal-width moderate-depth reservoir with identity inter-layer state pass-through."
"cap1000_d5n200eq",5,"200;200;200;200;200","200;200;200;200",100,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,"Equal-width deeper reservoir with identity inter-layer state pass-through."
"cap1000_d10n100eq",10,"100;100;100;100;100;100;100;100;100;100","100;100;100;100;100;100;100;100;100",100,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,"Deep narrow stress-test reservoir with identity inter-layer state pass-through."
"cap1000_d3n400x300x300",3,"400;300;300","400;300",100,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,"Front-loaded three-layer no-reduction reservoir; Q maps are identity for previous full states."
"cap1000_d3n333x334x333",3,"333;334;333","333;334",100,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,"Balanced three-layer no-reduction reservoir summing exactly to 1000 units."
"cap1000_d3n300x300x400",3,"300;300;400","300;300",100,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,"Back-loaded three-layer no-reduction reservoir; Q maps are identity for previous full states."
"cap1000_d6n200x200x150x150x150x150",6,"200;200;150;150;150;150","200;200;150;150;150",100,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,"Medium-deep tapered no-reduction reservoir with 1000 total units."
"cap1000_d8n125eq",8,"125;125;125;125;125;125;125;125","125;125;125;125;125;125;125",100,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,"Balanced eight-layer reservoir with identity inter-layer state pass-through."
