"date","streamflow","value","phase"
2022-10-27,0.33697047454,0.290406214510221,"Observed"
2022-10-28,0.33697047454,0.290406214510221,"Observed"
2022-10-29,0.33697047454,0.290406214510221,"Observed"
2022-10-30,0.3398021592,0.29252196067455,"Observed"
2022-10-31,0.34829721318,0.298842472741864,"Observed"
2022-11-01,0.51253492346,0.413787000547201,"Observed"
2022-11-02,0.4530695456,0.373678246897648,"Observed"
2022-11-03,0.42758438366,0.355983773697602,"Observed"
2022-11-04,0.4105942757,0.344011087723308,"Observed"
2022-11-05,0.3964358524,0.333923170797408,"Observed"
2022-11-06,0.39926753706,0.335948911896427,"Observed"
2022-11-07,0.49271313084,0.400595357322325,"Observed"
2022-11-08,4.8704976152,1.76993940285348,"Observed"
2022-11-09,1.18364418788,0.780995126972776,"Observed"
2022-11-10,0.64562410248,0.498119705870643,"Observed"
2022-11-11,0.50403986948,0.408154734139058,"Observed"
2022-11-12,0.4530695456,0.373678246897648,"Observed"
2022-11-13,0.42758438366,0.355983773697602,"Observed"
2022-11-14,0.41908932968,0.350015348754616,"Observed"
2022-11-15,0.41908932968,0.350015348754616,"Observed"
2022-11-16,0.41625764502,0.348017931417884,"Observed"
2022-11-17,0.41625764502,0.348017931417884,"Observed"
2022-11-18,0.41625764502,0.348017931417884,"Observed"
2022-11-19,0.41625764502,0.348017931417884,"Observed"
2022-11-20,0.41342596036,0.346016516418802,"Observed"
2022-11-21,0.41342596036,0.346016516418802,"Observed"
2022-11-22,0.41342596036,0.346016516418802,"Observed"
2022-11-23,0.41625764502,0.348017931417884,"Observed"
2022-11-24,0.41342596036,0.346016516418802,"Observed"
2022-11-25,0.40493090638,0.339988124622746,"Observed"
2022-11-26,0.40209922172,0.337970557663132,"Observed"
2022-11-27,0.40493090638,0.339988124622746,"Observed"
2022-11-28,0.39926753706,0.335948911896427,"Observed"
2022-11-29,0.39926753706,0.335948911896427,"Observed"
2022-11-30,0.41342596036,0.346016516418802,"Observed"
2022-12-01,3.0582194328,1.40074431406685,"Observed"
2022-12-02,1.5715849863,0.944522434996459,"Observed"
2022-12-03,2.3502982678,1.20904937703776,"Observed"
2022-12-04,2.9166351998,1.36523291779617,"Observed"
2022-12-05,1.77546628182,1.02081876256771,"Observed"
2022-12-06,2.48621913148,1.24881780555822,"Observed"
2022-12-07,1.31390168224,0.838935139640658,"Observed"
2022-12-08,1.03639658556,0.711181866340651,"Observed"
2022-12-09,1.3592086368,0.858326239414229,"Observed"
2022-12-10,20.6429811714,3.07468120656944,"Observed"
2022-12-11,16.3105036416,2.85131346417791,"Observed"
2022-12-12,9.91089631,2.38976195137421,"Observed"
2022-12-13,4.0493090638,1.61925141487718,"Observed"
2022-12-14,2.52586271672,1.26012514865163,"Observed"
2022-12-15,1.89439703754,1.062776812144,"Observed"
2022-12-16,1.557426563,0.939001504061878,"Observed"
2022-12-17,1.35071358282,0.854718934326879,"Observed"
2022-12-18,1.19780261118,0.787458048118069,"Observed"
2022-12-19,1.0760401708,0.730462315212771,"Observed"
2022-12-20,0.98825794634,0.687258851497442,"Observed"
2022-12-21,0.92596088382,0.655425003626598,"Observed"
2022-12-22,0.88065392926,0.631619551074154,"Observed"
2022-12-23,0.84101034402,0.610314520931517,"Observed"
2022-12-24,0.79570338946,0.585396805606396,"Observed"
2022-12-25,0.76738654286,0.569501925984288,"Observed"
2022-12-26,0.75889148888,0.564683774756493,"Held out"
2022-12-27,22.370308814,3.15146636258413,"Held out"
2022-12-28,8.2685192072,2.22662362649429,"Held out"
2022-12-29,4.7855470754,1.7553629240914,"Held out"
2022-12-30,14.5548591524,2.74437307549665,"Held out"
2022-12-31,185.758513696,5.22981641170739,"Held out"
2023-01-01,44.457449162,3.81677670514748,"Held out"
2023-01-02,18.689118756,2.98006613573275,"Held out"
2023-01-03,15.291097164,2.790618772341,"Held out"
2023-01-04,29.73268893,3.42532687410412,"Held out"
2023-01-05,69.37627417,4.25385619173112,"Held out"
2023-01-06,28.600015066,3.38777487031637,"Held out"
2023-01-07,20.0483273928,3.04682109819703,"Held out"
2023-01-08,56.350524734,4.04918199321094,"Held out"
2023-01-09,212.659517966,5.36438371043544,"Held out"
2023-01-10,58.615872462,4.08792185509188,"Held out"
2023-01-11,53.518840074,3.99854633136357,"Held out"
2023-01-12,47.289133822,3.87720656271899,"Held out"
2023-01-13,52.38616621,3.97755165266655,"Held out"
2023-01-14,164.804047212,5.11080665260834,"Held out"
2023-01-15,68.809937238,4.24577636694165,"Held out"
2023-01-16,86.083213664,4.46686414041667,"Held out"
2023-01-17,44.174280696,3.81052791373946,"Held out"
2023-01-18,30.015857396,3.43449860260206,"Held out"
2023-01-19,24.5507060022,3.24066494844799,"Held out"
2023-01-20,19.7368420802,3.03191192892286,"Held out"
2023-01-21,16.6219889542,2.86914749462559,"Held out"
2023-01-22,14.6398096922,2.74981956702523,"Held out"
