"scenario_id","model_key","mcmc_case_id","model_id","source_model_id","display_label","posterior_score_mean","posterior_score_q025","posterior_score_q975","canonical_action_dgp_integrated_acrps","selected_candidate_id","article_seed","phase181_posterior_score_mean","phase181_posterior_score_q025","phase181_posterior_score_q975","phase181_canonical_action_dgp_integrated_acrps","phase181_claim_status","phase181_source_action","phase181_source_phase","comparability_label","comparability_reason","jerez_minus_phase181_mean","score_contract_version"
"asymmetric_laplace_tail","qdesn_rhs_independent_vb","asymmetric_laplace_tail__qdesn_rhs_independent","qdesn_rhs_independent_mcmc","qdesn_rhs_independent_vb","Independent QDESN, AL, RHS",0.355303407481479,0.330508713270455,0.408541320554864,0.340542261390353,"asymmetric_laplace_tail__ridge_076",202607205,0.316715573171521,0.314906810778701,0.319621434284601,0.314491656104465,"descriptive_review","rerun_retained_draws","phase154_controls_phase180_rerun","descriptively_comparable","scenario, model family, seven-level tau grid, score definition, and posterior action align; Jerez uses separately selected shared-backbone controls and score_local rows; tracked Phase181 tables do not carry article_seed/forecast-row hashes, so this lane does not supersede article authority",0.038587834309958,"joint_qdesn_corrected_article_score_packet_v4"
"asymmetric_laplace_tail","joint_qdesn_rhs_vb","asymmetric_laplace_tail__joint_qdesn_rhs","joint_qdesn_rhs_mcmc","joint_qdesn_rhs_vb","Joint QDESN, AL, RHS",0.781578703536138,0.373306078519663,1.33331458830162,0.737715543595009,"asymmetric_laplace_tail__ridge_076",202607205,0.317002607750402,0.314667665954849,0.321273736176476,0.314925434293005,"descriptive_review","rerun_retained_draws","phase154_controls_phase180_rerun","descriptively_comparable","scenario, model family, seven-level tau grid, score definition, and posterior action align; Jerez uses separately selected shared-backbone controls and score_local rows; tracked Phase181 tables do not carry article_seed/forecast-row hashes, so this lane does not supersede article authority",0.464576095785736,"joint_qdesn_corrected_article_score_packet_v4"
"asymmetric_laplace_tail","exqdesn_rhs_independent_vb","asymmetric_laplace_tail__exqdesn_rhs_independent","exqdesn_rhs_independent_mcmc","exqdesn_rhs_independent_vb","Independent exQDESN, exAL, RHS",0.332350663695675,0.321160074249421,0.351775316851971,0.320420037973753,"asymmetric_laplace_tail__ridge_076",202607205,0.316773301926372,0.31471287703234,0.320508045264169,0.314347866371965,"descriptive_review","reuse_phase172_verified_draws","phase172","descriptively_comparable","scenario, model family, seven-level tau grid, score definition, and posterior action align; Jerez uses separately selected shared-backbone controls and score_local rows; tracked Phase181 tables do not carry article_seed/forecast-row hashes, so this lane does not supersede article authority",0.015577361769303,"joint_qdesn_corrected_article_score_packet_v4"
"asymmetric_laplace_tail","joint_exqdesn_rhs_vb","asymmetric_laplace_tail__joint_exqdesn_rhs","joint_exqdesn_rhs_mcmc","joint_exqdesn_rhs_vb","Joint exQDESN, exAL, RHS",0.478662948724966,0.332472400020569,0.905923269099245,0.397402106521918,"asymmetric_laplace_tail__ridge_076",202607205,0.316348003482585,0.314344204879885,0.320005869295222,0.31454747586113,"descriptive_review","reuse_phase172_verified_draws","phase172","descriptively_comparable","scenario, model family, seven-level tau grid, score definition, and posterior action align; Jerez uses separately selected shared-backbone controls and score_local rows; tracked Phase181 tables do not carry article_seed/forecast-row hashes, so this lane does not supersede article authority",0.162314945242381,"joint_qdesn_corrected_article_score_packet_v4"
"gaussian_mixture_bridge","qdesn_rhs_independent_vb","gaussian_mixture_bridge__qdesn_rhs_independent","qdesn_rhs_independent_mcmc","qdesn_rhs_independent_vb","Independent QDESN, AL, RHS",0.397538146580264,0.390223120359066,0.409404424507974,0.389764725576138,"gaussian_mixture_bridge__ridge_028",202607203,0.386544806770438,0.384366979552608,0.389491857706858,0.384315392931433,"descriptive_review","rerun_retained_draws","phase154_controls_phase180_rerun","descriptively_comparable","scenario, model family, seven-level tau grid, score definition, and posterior action align; Jerez uses separately selected shared-backbone controls and score_local rows; tracked Phase181 tables do not carry article_seed/forecast-row hashes, so this lane does not supersede article authority",0.010993339809826,"joint_qdesn_corrected_article_score_packet_v4"
"gaussian_mixture_bridge","joint_qdesn_rhs_vb","gaussian_mixture_bridge__joint_qdesn_rhs","joint_qdesn_rhs_mcmc","joint_qdesn_rhs_vb","Joint QDESN, AL, RHS",0.601888400555683,0.43616838634056,0.864781284786869,0.582042977766629,"gaussian_mixture_bridge__ridge_028",202607203,0.386577008170869,0.384251097862306,0.389707726203323,0.384701117174211,"descriptive_hard_gates_pass","rerun_retained_draws","phase154_controls_phase180_rerun","descriptively_comparable","scenario, model family, seven-level tau grid, score definition, and posterior action align; Jerez uses separately selected shared-backbone controls and score_local rows; tracked Phase181 tables do not carry article_seed/forecast-row hashes, so this lane does not supersede article authority",0.215311392384814,"joint_qdesn_corrected_article_score_packet_v4"
"gaussian_mixture_bridge","exqdesn_rhs_independent_vb","gaussian_mixture_bridge__exqdesn_rhs_independent","exqdesn_rhs_independent_mcmc","exqdesn_rhs_independent_vb","Independent exQDESN, exAL, RHS",0.393558024242714,0.387131035108395,0.405470241062797,0.385270768897715,"gaussian_mixture_bridge__ridge_028",202607203,0.387164532594699,0.384206899047435,0.391698906044769,0.383816350000674,"descriptive_review","reuse_phase172_verified_draws","phase172","descriptively_comparable","scenario, model family, seven-level tau grid, score definition, and posterior action align; Jerez uses separately selected shared-backbone controls and score_local rows; tracked Phase181 tables do not carry article_seed/forecast-row hashes, so this lane does not supersede article authority",0.006393491648015,"joint_qdesn_corrected_article_score_packet_v4"
"gaussian_mixture_bridge","joint_exqdesn_rhs_vb","gaussian_mixture_bridge__joint_exqdesn_rhs","joint_exqdesn_rhs_mcmc","joint_exqdesn_rhs_vb","Joint exQDESN, exAL, RHS",0.42607861635793,0.39019954972043,0.530978373375638,0.410298348677433,"gaussian_mixture_bridge__ridge_028",202607203,0.386981891348286,0.384149561148936,0.391079756968141,0.384670153302515,"descriptive_review","reuse_phase172_verified_draws","phase172","descriptively_comparable","scenario, model family, seven-level tau grid, score definition, and posterior action align; Jerez uses separately selected shared-backbone controls and score_local rows; tracked Phase181 tables do not carry article_seed/forecast-row hashes, so this lane does not supersede article authority",0.039096725009644,"joint_qdesn_corrected_article_score_packet_v4"
"laplace_bridge","qdesn_rhs_independent_vb","laplace_bridge__qdesn_rhs_independent","qdesn_rhs_independent_mcmc","qdesn_rhs_independent_vb","Independent QDESN, AL, RHS",0.3477586154102,0.332023709314498,0.375368515594918,0.337179104502232,"laplace_bridge__ridge_079",202607202,0.322807422002477,0.320972347955004,0.325311435493564,0.320960420141254,"descriptive_review","rerun_retained_draws","phase154_controls_phase180_rerun","descriptively_comparable","scenario, model family, seven-level tau grid, score definition, and posterior action align; Jerez uses separately selected shared-backbone controls and score_local rows; tracked Phase181 tables do not carry article_seed/forecast-row hashes, so this lane does not supersede article authority",0.024951193407723,"joint_qdesn_corrected_article_score_packet_v4"
"laplace_bridge","joint_qdesn_rhs_vb","laplace_bridge__joint_qdesn_rhs","joint_qdesn_rhs_mcmc","joint_qdesn_rhs_vb","Joint QDESN, AL, RHS",0.38559989524679,0.347180803298802,0.444147913524501,0.371487313738825,"laplace_bridge__ridge_079",202607202,0.32201667323346,0.320358251040411,0.325157360756834,0.320380876438529,"descriptive_review","rerun_retained_draws","phase154_controls_phase180_rerun","descriptively_comparable","scenario, model family, seven-level tau grid, score definition, and posterior action align; Jerez uses separately selected shared-backbone controls and score_local rows; tracked Phase181 tables do not carry article_seed/forecast-row hashes, so this lane does not supersede article authority",0.06358322201333,"joint_qdesn_corrected_article_score_packet_v4"
